s_cong_Trans,s_inc_Trans,w_cong_Trans,w_inc_Trans,s_cong_Intrans,s_inc_Intrans,w_cong_Intrans,w_inc_Intrans,s_PE_Transitive,s_PE_Intransitive,w_PE_Transitive,w_PE_Intransitive
-41.21875,-44.625,-12.3359375,-11.9453125,-28.671875,-28.75,-11.859375,-11.9375,3.40625,0.078125,-0.390625,0.078125
-29.703125,-33.03125,-9.1953125,-9.5,-20.71875,-24.65625,-5.31640625,-8.328125,3.328125,3.9375,0.3046875,3.01171875
-43.9375,-47.96875,-13.4375,-13.6171875,-36.875,-35.96875,-12.0078125,-12.5859375,4.03125,-0.90625,0.1796875,0.578125
-38.5625,-41.5625,-11.6640625,-11.5078125,-30.15625,-28.65625,-9.0234375,-8.71875,3.0,-1.5,-0.15625,-0.3046875
-37.8125,-42.6875,-11.6171875,-13.3671875,-30.546875,-27.953125,-9.3671875,-8.8203125,4.875,-2.59375,1.75,-0.546875
-38.46875,-41.4375,-12.5546875,-12.8515625,-34.65625,-34.5,-12.984375,-12.7109375,2.96875,-0.15625,0.296875,-0.2734375
-37.25,-37.21875,-11.609375,-11.2734375,-24.453125,-25.25,-8.1796875,-7.51953125,-0.03125,0.796875,-0.3359375,-0.66015625
-32.59375,-37.09375,-6.9765625,-8.53125,-24.578125,-25.71875,-6.88671875,-7.34765625,4.5,1.140625,1.5546875,0.4609375
-36.53125,-36.75,-13.1328125,-11.421875,-22.015625,-25.65625,-9.6875,-10.65625,0.21875,3.640625,-1.7109375,0.96875
-27.859375,-35.4375,-8.765625,-10.0625,-21.953125,-18.546875,-9.0390625,-7.24609375,7.578125,-3.40625,1.296875,-1.79296875
-29.265625,-36.40625,-8.2421875,-9.0078125,-25.171875,-20.203125,-5.96484375,-5.44140625,7.140625,-4.96875,0.765625,-0.5234375
-42.375,-44.78125,-11.6953125,-11.84375,-31.84375,-31.03125,-9.796875,-10.1640625,2.40625,-0.8125,0.1484375,0.3671875
-34.9375,-35.09375,-11.1875,-10.65625,-21.4375,-23.0,-3.806640625,-5.23046875,0.15625,1.5625,-0.53125,1.423828125
-36.8125,-40.40625,-10.03125,-10.328125,-32.125,-31.140625,-11.9140625,-11.7421875,3.59375,-0.984375,0.296875,-0.171875
-44.21875,-46.375,-18.0625,-17.9375,-35.09375,-35.84375,-13.453125,-13.0703125,2.15625,0.75,-0.125,-0.3828125
-41.1875,-40.4375,-8.765625,-10.71875,-28.21875,-30.71875,-9.2265625,-9.171875,-0.75,2.5,1.953125,-0.0546875
-37.3125,-38.0,-9.34375,-8.3125,-24.75,-25.921875,-7.50390625,-7.84765625,0.6875,1.171875,-1.03125,0.34375
