s_cong_Active,s_inc_Active,w_cong_Active,w_inc_Active,s_cong_Passive,s_inc_Passive,w_cong_Passive,w_inc_Passive,s_PE_Active,s_PE_Passive,w_PE_Active,w_PE_Passive
-61.5,-61.5,-5.22265625,-5.51953125,-60.15625,-64.5,-4.5625,-5.38671875,0.0,4.34375,0.296875,0.82421875
-56.375,-56.21875,-8.625,-8.9375,-58.34375,-61.3125,-4.984375,-5.36328125,-0.15625,2.96875,0.3125,0.37890625
-64.875,-63.90625,-5.76953125,-6.11328125,-59.96875,-63.40625,-5.015625,-5.2265625,-0.96875,3.4375,0.34375,0.2109375
-65.75,-66.4375,-11.78125,-12.125,-67.875,-69.375,-4.234375,-4.796875,0.6875,1.5,0.34375,0.5625
-55.5625,-59.25,-11.6015625,-12.7265625,-57.90625,-60.9375,-4.734375,-4.8671875,3.6875,3.03125,1.125,0.1328125
-57.75,-59.65625,-9.5859375,-10.6640625,-63.6875,-64.8125,-5.99609375,-6.5234375,1.90625,1.125,1.078125,0.52734375
-63.71875,-65.125,-9.359375,-10.1171875,-64.4375,-67.4375,-6.0234375,-6.4921875,1.40625,3.0,0.7578125,0.46875
-78.125,-79.75,-6.99609375,-7.01171875,-79.8125,-85.0,-4.23828125,-4.796875,1.625,5.1875,0.015625,0.55859375
-58.78125,-61.65625,-11.6484375,-12.6171875,-61.9375,-62.3125,-4.50390625,-5.07421875,2.875,0.375,0.96875,0.5703125
-59.34375,-64.6875,-6.80078125,-8.234375,-59.5625,-63.375,-5.28515625,-5.5,5.34375,3.8125,1.43359375,0.21484375
-65.25,-62.46875,-14.234375,-14.890625,-64.1875,-72.375,-7.23046875,-7.6484375,-2.78125,8.1875,0.65625,0.41796875
-65.375,-66.4375,-7.0078125,-7.68359375,-67.0,-68.375,-6.88671875,-6.94921875,1.0625,1.375,0.67578125,0.0625
-61.71875,-62.03125,-11.25,-11.265625,-68.3125,-73.0,-4.546875,-5.59375,0.3125,4.6875,0.015625,1.046875
-59.625,-61.5625,-8.2109375,-8.890625,-58.1875,-62.15625,-3.46484375,-4.40234375,1.9375,3.96875,0.6796875,0.9375
-70.0,-69.0625,-7.32421875,-7.53515625,-69.375,-71.0625,-6.52734375,-6.4296875,-0.9375,1.6875,0.2109375,-0.09765625
-58.78125,-59.625,-5.5703125,-6.296875,-62.25,-62.875,-4.6171875,-4.9453125,0.84375,0.625,0.7265625,0.328125
-60.75,-61.4375,-10.1328125,-10.203125,-61.8125,-65.875,-5.31640625,-5.1640625,0.6875,4.0625,0.0703125,-0.15234375
-58.75,-60.15625,-6.45703125,-6.5625,-56.75,-60.0,-4.6015625,-4.99609375,1.40625,3.25,0.10546875,0.39453125
-67.0625,-78.125,-6.70703125,-7.11328125,-73.125,-70.9375,-3.384765625,-3.87890625,11.0625,-2.1875,0.40625,0.494140625
-61.6875,-64.375,-10.8359375,-11.2421875,-64.25,-65.9375,-3.330078125,-3.79296875,2.6875,1.6875,0.40625,0.462890625
-58.15625,-59.375,-10.1640625,-11.78125,-63.15625,-69.5,-4.14453125,-5.015625,1.21875,6.34375,1.6171875,0.87109375
-57.78125,-56.875,-7.265625,-8.3359375,-64.9375,-67.875,-4.34375,-5.1875,-0.90625,2.9375,1.0703125,0.84375
-64.9375,-65.4375,-13.2734375,-13.7265625,-61.9375,-66.0,-7.0078125,-9.40625,0.5,4.0625,0.453125,2.3984375
-70.5,-71.6875,-11.1953125,-11.3828125,-65.5,-66.5,-4.55078125,-5.09765625,1.1875,1.0,0.1875,0.546875
-54.375,-57.0625,-6.7890625,-7.12109375,-57.25,-60.125,-3.912109375,-4.77734375,2.6875,2.875,0.33203125,0.865234375
-54.96875,-58.21875,-8.15625,-8.234375,-60.90625,-60.1875,-5.17578125,-4.93359375,3.25,-0.71875,0.078125,-0.2421875
-57.53125,-58.71875,-9.6328125,-9.5234375,-59.0,-61.1875,-4.0625,-4.06640625,1.1875,2.1875,-0.109375,0.00390625
-54.40625,-52.8125,-6.328125,-6.50390625,-56.09375,-59.84375,-3.998046875,-4.28515625,-1.59375,3.75,0.17578125,0.287109375
-62.0,-60.65625,-13.8828125,-14.3046875,-65.5,-66.6875,-5.10546875,-4.703125,-1.34375,1.1875,0.421875,-0.40234375
-66.8125,-69.8125,-8.921875,-9.3671875,-66.75,-69.875,-6.375,-6.23828125,3.0,3.125,0.4453125,-0.13671875
-62.84375,-62.59375,-6.46875,-6.63671875,-64.5625,-66.75,-5.71875,-6.23046875,-0.25,2.1875,0.16796875,0.51171875
-61.59375,-62.3125,-10.4140625,-10.734375,-58.3125,-62.03125,-4.6875,-4.9921875,0.71875,3.71875,0.3203125,0.3046875
-56.6875,-60.8125,-9.1796875,-10.6640625,-56.78125,-58.09375,-5.0625,-5.3515625,4.125,1.3125,1.484375,0.2890625
-58.84375,-60.53125,-6.9921875,-7.953125,-62.9375,-65.125,-5.6640625,-5.63671875,1.6875,2.1875,0.9609375,-0.02734375
-56.125,-55.9375,-8.25,-8.3046875,-55.78125,-58.34375,-2.708984375,-2.728515625,-0.1875,2.5625,0.0546875,0.01953125
-58.0,-58.15625,-8.8828125,-9.5390625,-59.125,-63.09375,-5.38671875,-5.45703125,0.15625,3.96875,0.65625,0.0703125
-70.625,-72.5625,-10.40625,-10.25,-75.3125,-75.75,-5.359375,-6.03125,1.9375,0.4375,-0.15625,0.671875
-65.8125,-66.625,-8.5625,-8.5390625,-68.0625,-72.8125,-6.4140625,-7.3828125,0.8125,4.75,-0.0234375,0.96875
-62.90625,-64.75,-11.2109375,-12.4921875,-65.625,-69.25,-5.21875,-5.99609375,1.84375,3.625,1.28125,0.77734375
-61.09375,-59.75,-7.55859375,-7.75390625,-65.9375,-72.8125,-3.931640625,-3.68359375,-1.34375,6.875,0.1953125,-0.248046875
-63.28125,-59.625,-14.9140625,-15.3828125,-59.40625,-65.4375,-4.12109375,-3.748046875,-3.65625,6.03125,0.46875,-0.373046875
-71.25,-70.375,-7.65234375,-7.83203125,-70.375,-74.375,-4.49609375,-5.109375,-0.875,4.0,0.1796875,0.61328125
-54.0625,-51.1875,-6.265625,-6.5703125,-59.1875,-65.6875,-5.69140625,-6.484375,-2.875,6.5,0.3046875,0.79296875
-71.3125,-71.3125,-7.171875,-7.75,-69.25,-75.5,-5.265625,-5.81640625,0.0,6.25,0.578125,0.55078125
-61.59375,-59.375,-10.78125,-10.9375,-59.21875,-64.3125,-3.869140625,-4.078125,-2.21875,5.09375,0.15625,0.208984375
