s_cong_Trans,s_inc_Trans,w_cong_Trans,w_inc_Trans,s_cong_Intrans,s_inc_Intrans,w_cong_Intrans,w_inc_Intrans,s_PE_Transitive,s_PE_Intransitive,w_PE_Transitive,w_PE_Intransitive
-49.59375,-53.96875,-6.4140625,-6.921875,-32.71875,-33.5,-5.7734375,-5.2890625,4.375,0.78125,0.5078125,-0.484375
-59.40625,-59.28125,-10.328125,-9.328125,-40.90625,-42.53125,-7.26953125,-8.0390625,-0.125,1.625,-1.0,0.76953125
-60.34375,-63.78125,-5.640625,-5.734375,-45.0,-43.34375,-5.8984375,-5.7109375,3.4375,-1.65625,0.09375,-0.1875
-59.0,-60.15625,-9.65625,-10.1328125,-39.4375,-40.40625,-8.875,-8.0234375,1.15625,0.96875,0.4765625,-0.8515625
-59.15625,-61.5,-12.7578125,-12.984375,-36.5625,-38.0,-14.109375,-14.0859375,2.34375,1.4375,0.2265625,-0.0234375
-58.4375,-62.53125,-7.96484375,-8.2109375,-45.625,-44.09375,-9.171875,-8.1640625,4.09375,-1.53125,0.24609375,-1.0078125
-63.40625,-65.25,-9.3125,-9.6796875,-49.375,-48.03125,-8.328125,-7.91015625,1.84375,-1.34375,0.3671875,-0.41796875
-50.28125,-53.375,-8.75,-9.359375,-41.90625,-39.4375,-11.4296875,-10.6484375,3.09375,-2.46875,0.609375,-0.78125
-54.5,-54.5,-8.4375,-8.75,-38.375,-39.3125,-8.9453125,-8.515625,0.0,0.9375,0.3125,-0.4296875
-54.5,-58.40625,-5.55078125,-5.7578125,-40.09375,-37.96875,-8.9921875,-7.390625,3.90625,-2.125,0.20703125,-1.6015625
-57.53125,-57.75,-5.41015625,-5.0625,-39.59375,-42.09375,-5.51953125,-5.34765625,0.21875,2.5,-0.34765625,-0.171875
-60.0,-62.5,-10.359375,-10.3203125,-41.15625,-41.3125,-8.703125,-9.078125,2.5,0.15625,-0.0390625,0.375
-55.21875,-56.15625,-7.4765625,-7.94140625,-34.375,-34.5,-6.3046875,-6.109375,0.9375,0.125,0.46484375,-0.1953125
-59.875,-61.65625,-15.1875,-15.3125,-44.71875,-44.375,-11.6875,-11.6328125,1.78125,-0.34375,0.125,-0.0546875
-54.0625,-61.375,-11.3046875,-12.0234375,-44.4375,-41.78125,-13.96875,-13.34375,7.3125,-2.65625,0.71875,-0.625
-57.0,-56.34375,-6.796875,-7.13671875,-37.90625,-40.96875,-7.77734375,-7.98828125,-0.65625,3.0625,0.33984375,0.2109375
-58.84375,-63.65625,-11.1640625,-11.5703125,-44.46875,-42.8125,-13.390625,-12.171875,4.8125,-1.65625,0.40625,-1.21875
-61.21875,-60.8125,-9.53125,-8.921875,-47.0,-48.25,-9.1328125,-10.1015625,-0.40625,1.25,-0.609375,0.96875
-62.09375,-63.5,-12.359375,-12.6171875,-38.59375,-41.28125,-8.453125,-8.7109375,1.40625,2.6875,0.2578125,0.2578125
-63.5,-64.5,-7.5390625,-7.328125,-43.875,-43.15625,-6.18359375,-6.1171875,1.0,-0.71875,-0.2109375,-0.06640625
-46.1875,-49.875,-6.43359375,-6.578125,-27.546875,-27.984375,-6.94140625,-6.69140625,3.6875,0.4375,0.14453125,-0.25
-64.6875,-70.9375,-4.765625,-7.68359375,-46.65625,-45.28125,-8.03125,-5.43359375,6.25,-1.375,2.91796875,-2.59765625
-54.25,-55.8125,-7.67578125,-8.625,-36.65625,-38.25,-8.4140625,-8.390625,1.5625,1.59375,0.94921875,-0.0234375
-60.96875,-66.8125,-10.2265625,-10.421875,-39.09375,-38.1875,-11.140625,-10.953125,5.84375,-0.90625,0.1953125,-0.1875
-70.9375,-73.5,-12.125,-12.0859375,-50.6875,-50.625,-8.6640625,-8.390625,2.5625,-0.0625,-0.0390625,-0.2734375
-66.6875,-66.8125,-6.765625,-7.10546875,-45.28125,-49.34375,-7.4453125,-7.4296875,0.125,4.0625,0.33984375,-0.015625
-56.65625,-58.34375,-9.4609375,-9.5390625,-40.53125,-40.46875,-5.51953125,-5.72265625,1.6875,-0.0625,0.078125,0.203125
-66.5625,-67.0,-10.90625,-11.0078125,-41.75,-43.28125,-11.921875,-11.890625,0.4375,1.53125,0.1015625,-0.03125
-58.28125,-59.625,-10.3671875,-11.2890625,-39.84375,-39.4375,-13.1328125,-12.609375,1.34375,-0.40625,0.921875,-0.5234375
-57.9375,-61.09375,-10.1875,-10.65625,-52.84375,-52.0,-11.4375,-11.0078125,3.15625,-0.84375,0.46875,-0.4296875
-53.15625,-53.25,-13.0859375,-12.40625,-35.09375,-34.46875,-13.0859375,-12.0546875,0.09375,-0.625,-0.6796875,-1.03125
-56.03125,-58.59375,-8.6484375,-8.609375,-41.4375,-41.71875,-8.0078125,-7.75390625,2.5625,0.28125,-0.0390625,-0.25390625
-62.03125,-64.875,-13.1640625,-13.328125,-45.5625,-43.96875,-12.4765625,-11.7109375,2.84375,-1.59375,0.1640625,-0.765625
-63.625,-68.375,-5.7109375,-5.8671875,-46.34375,-44.8125,-6.8828125,-6.546875,4.75,-1.53125,0.15625,-0.3359375
-54.6875,-56.4375,-13.921875,-13.453125,-36.96875,-40.5625,-11.7265625,-12.328125,1.75,3.59375,-0.46875,0.6015625
-52.09375,-53.125,-7.1796875,-7.26171875,-30.59375,-32.34375,-6.03125,-6.36328125,1.03125,1.75,0.08203125,0.33203125
-54.0,-56.125,-12.53125,-13.453125,-38.28125,-38.5,-12.265625,-11.828125,2.125,0.21875,0.921875,-0.4375
-63.875,-66.875,-4.65234375,-4.82421875,-49.09375,-46.875,-4.50390625,-4.49609375,3.0,-2.21875,0.171875,-0.0078125
-60.125,-61.0,-15.234375,-14.8828125,-35.15625,-36.4375,-13.8125,-14.2734375,0.875,1.28125,-0.3515625,0.4609375
-55.40625,-56.96875,-5.9921875,-4.51171875,-38.625,-38.0625,-4.29296875,-4.91015625,1.5625,-0.5625,-1.48046875,0.6171875
-64.125,-64.875,-9.3359375,-9.6953125,-42.03125,-43.625,-9.53125,-9.453125,0.75,1.59375,0.359375,-0.078125
-56.0625,-63.90625,-6.25,-7.2734375,-47.78125,-46.84375,-5.44140625,-5.39453125,7.84375,-0.9375,1.0234375,-0.046875
-54.96875,-57.40625,-4.75390625,-4.98828125,-39.0625,-40.65625,-8.46875,-8.65625,2.4375,1.59375,0.234375,0.1875
-58.71875,-59.9375,-5.2734375,-5.6796875,-42.09375,-42.1875,-7.06640625,-6.73828125,1.21875,0.09375,0.40625,-0.328125
-58.5,-60.8125,-5.6484375,-5.46484375,-41.625,-41.5,-4.875,-4.88671875,2.3125,-0.125,-0.18359375,0.01171875
-56.09375,-57.75,-10.765625,-11.65625,-41.84375,-43.4375,-10.640625,-10.15625,1.65625,1.59375,0.890625,-0.484375
-57.46875,-63.84375,-7.10546875,-8.28125,-43.625,-42.5,-10.6171875,-9.8125,6.375,-1.125,1.17578125,-0.8046875
-50.59375,-49.46875,-8.015625,-6.14453125,-34.28125,-37.0,-5.98828125,-7.671875,-1.125,2.71875,-1.87109375,1.68359375
-57.4375,-57.96875,-6.9765625,-4.25390625,-38.8125,-40.75,-6.17578125,-6.82421875,0.53125,1.9375,-2.72265625,0.6484375
-59.46875,-61.78125,-11.09375,-10.765625,-40.78125,-39.03125,-10.1875,-10.3046875,2.3125,-1.75,-0.328125,0.1171875
-76.8125,-73.875,-7.62109375,-8.0,-56.125,-61.1875,-7.91796875,-7.68359375,-2.9375,5.0625,0.37890625,-0.234375
-54.09375,-54.65625,-5.7734375,-5.84375,-34.5,-36.96875,-6.6328125,-6.3515625,0.5625,2.46875,0.0703125,-0.28125
-59.34375,-60.46875,-8.7265625,-9.078125,-37.25,-36.40625,-7.515625,-7.66796875,1.125,-0.84375,0.3515625,0.15234375
