s_cong_DO,s_inc_DO,w_cong_DO,w_inc_DO,s_cong_PO,s_inc_PO,w_cong_PO,w_inc_PO,s_PE_DO,s_PE_PO
-62.9375,-65.75,-9.7578125,-10.171875,-65.875,-65.75,-5.26953125,-5.41015625,2.8125,-0.125
-62.6875,-63.75,-5.58203125,-5.65234375,-66.375,-67.1875,-3.439453125,-3.953125,1.0625,0.8125
-61.875,-62.5,-9.0703125,-9.328125,-66.4375,-67.0625,-6.12890625,-6.25390625,0.625,0.625
-68.6875,-69.125,-5.97265625,-5.92578125,-71.625,-73.875,-4.51953125,-4.7109375,0.4375,2.25
-71.625,-73.625,-10.4765625,-10.3359375,-74.6875,-74.1875,-4.88671875,-4.94140625,2.0,-0.5
-72.0,-71.3125,-7.234375,-7.3046875,-73.1875,-74.8125,-5.01171875,-5.0078125,-0.6875,1.625
-69.375,-72.3125,-6.109375,-5.8671875,-73.25,-72.9375,-5.04296875,-5.2890625,2.9375,-0.3125
-58.25,-60.6875,-8.640625,-8.9296875,-62.46875,-62.90625,-3.853515625,-4.30859375,2.4375,0.4375
-65.625,-68.3125,-8.5546875,-8.640625,-69.5,-69.125,-4.97265625,-5.14453125,2.6875,-0.375
-66.5,-68.1875,-6.77734375,-7.14453125,-68.4375,-70.1875,-4.9921875,-5.1484375,1.6875,1.75
-67.875,-70.125,-11.2578125,-11.265625,-72.625,-72.1875,-3.775390625,-3.701171875,2.25,-0.4375
-74.0625,-74.8125,-9.9453125,-10.1171875,-77.625,-79.0,-3.326171875,-3.87109375,0.75,1.375
-68.25,-69.6875,-3.896484375,-4.4140625,-72.25,-72.375,-4.05078125,-4.22265625,1.4375,0.125
-75.6875,-76.4375,-6.28515625,-6.4375,-82.625,-82.25,-5.78515625,-5.71484375,0.75,-0.375
-67.9375,-69.0625,-10.3046875,-10.6953125,-69.5625,-70.1875,-4.01953125,-4.3515625,1.125,0.625
-65.625,-66.25,-5.765625,-6.03125,-68.125,-71.1875,-5.97265625,-5.97265625,0.625,3.0625
-66.5,-68.0,-10.5078125,-10.53125,-71.125,-70.6875,-5.4375,-5.53515625,1.5,-0.4375
-65.4375,-68.0,-5.81640625,-6.23046875,-71.625,-73.1875,-5.26171875,-5.6875,2.5625,1.5625
-61.3125,-63.9375,-7.4453125,-7.65625,-64.375,-64.75,-3.8046875,-4.26171875,2.625,0.375
-74.25,-76.75,-6.76171875,-6.9140625,-79.1875,-79.5,-5.75,-6.09765625,2.5,0.3125
-62.09375,-63.1875,-7.21875,-7.14453125,-64.875,-66.4375,-5.87109375,-5.9609375,1.09375,1.5625
-66.0,-65.4375,-3.3515625,-3.5078125,-66.8125,-68.5,-6.37890625,-6.57421875,-0.5625,1.6875
-59.125,-60.5625,-5.58203125,-5.54296875,-62.15625,-63.03125,-5.21875,-5.3125,1.4375,0.875
-65.1875,-66.5625,-6.328125,-6.53125,-69.375,-69.75,-2.515625,-2.919921875,1.375,0.375
-63.6875,-64.8125,-5.203125,-5.35546875,-66.75,-67.75,-5.21484375,-5.46875,1.125,1.0
-71.375,-70.0,-8.6640625,-8.7734375,-69.8125,-73.4375,-5.09375,-5.21875,-1.375,3.625
-67.125,-68.375,-6.0390625,-6.5234375,-69.6875,-70.9375,-3.15625,-3.3828125,1.25,1.25
-65.75,-67.8125,-4.90234375,-5.03515625,-68.375,-68.5625,-5.3125,-5.37890625,2.0625,0.1875
-63.65625,-66.0625,-9.25,-9.6796875,-70.375,-70.6875,-5.54296875,-5.45703125,2.40625,0.3125
-64.9375,-66.6875,-6.2578125,-6.421875,-66.125,-66.0625,-3.955078125,-4.05859375,1.75,-0.0625
-65.75,-68.0,-6.9140625,-7.0234375,-70.375,-70.625,-5.4375,-5.625,2.25,0.25
-69.25,-69.0625,-9.25,-9.7578125,-71.75,-73.25,-4.2265625,-4.43359375,-0.1875,1.5
-72.875,-74.125,-4.953125,-5.046875,-76.625,-77.1875,-4.29296875,-4.64453125,1.25,0.5625
-66.875,-69.4375,-3.35546875,-3.740234375,-71.0,-71.75,-5.12109375,-5.22265625,2.5625,0.75
-55.65625,-58.03125,-7.33203125,-7.49609375,-58.5,-58.59375,-4.39453125,-4.68359375,2.375,0.09375
-67.9375,-64.75,-6.53125,-4.28125,-67.375,-73.0625,-5.30859375,-5.4375,-3.1875,5.6875
-58.96875,-62.71875,-5.9140625,-6.27734375,-63.625,-66.75,-4.0859375,-4.25390625,3.75,3.125
-65.1875,-66.0625,-6.34765625,-6.44921875,-71.25,-71.4375,-6.35546875,-6.4296875,0.875,0.1875
-59.09375,-63.90625,-5.4296875,-5.8203125,-66.75,-66.25,-5.26953125,-5.515625,4.8125,-0.5
-56.84375,-60.1875,-8.8671875,-9.421875,-58.96875,-61.21875,-3.62890625,-4.14453125,3.34375,2.25
-68.0625,-66.75,-7.734375,-7.87109375,-68.5625,-71.25,-8.34375,-8.640625,-1.3125,2.6875
-61.25,-62.40625,-6.01953125,-6.32421875,-66.8125,-67.8125,-3.626953125,-3.818359375,1.15625,1.0
-60.03125,-62.59375,-7.71875,-7.8125,-63.1875,-65.875,-4.53515625,-4.76953125,2.5625,2.6875
-63.71875,-66.75,-6.69140625,-6.671875,-69.1875,-69.0625,-5.51953125,-5.30859375,3.03125,-0.125
-67.6875,-69.0625,-7.28125,-7.42578125,-69.5625,-70.4375,-3.73828125,-3.876953125,1.375,0.875
-72.8125,-71.875,-5.640625,-5.5859375,-71.625,-74.5,-5.9453125,-6.203125,-0.9375,2.875
-67.5,-65.9375,-4.82421875,-4.80859375,-68.75,-72.375,-4.86328125,-4.69921875,-1.5625,3.625
-66.3125,-67.4375,-8.5390625,-8.640625,-70.3125,-71.5,-3.7421875,-4.0390625,1.125,1.1875
-65.3125,-66.4375,-6.3203125,-6.55078125,-67.375,-68.25,-3.904296875,-4.17578125,1.125,0.875
-67.125,-68.0,-4.6640625,-4.69921875,-69.375,-69.625,-3.796875,-3.927734375,0.875,0.25
-64.8125,-67.75,-5.8359375,-6.23828125,-72.375,-70.1875,-6.39453125,-6.359375,2.9375,-2.1875
-64.0625,-65.125,-6.21484375,-6.421875,-66.9375,-66.8125,-4.92578125,-4.796875,1.0625,-0.125
-65.3125,-66.8125,-10.2734375,-10.8046875,-70.0,-69.8125,-6.06640625,-6.15625,1.5,-0.1875
-62.53125,-67.1875,-7.53125,-8.234375,-70.5625,-69.6875,-4.16796875,-4.50390625,4.65625,-0.875
